JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：JLC_BOM-JLCPCB Assembly Order.xlsx,,,Download Time：2025-12-08 00:43:43,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：67.4383,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
R9,,100K,0402,,Select by System,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25741,https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741,Basic,20,20 JLCPCB,0.012
"R10,R11,R14,R15,R18,R19,R20",,10K,0402,,Select by System,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,24,24 JLCPCB,0.012
"R13,R17,R7",,470,0402,,Select by System,0402WGF4700TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 470Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25117,https://jlcpcb.com/partdetail/25860-0402WGF4700TCE/C25117,Basic,20,20 JLCPCB,0.012
"R16,R4",,4.7K,0402,,Select by System,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 4.7kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25900,https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900,Basic,20,20 JLCPCB,0.012
"SW2,SW3",,SW_Push,"SMD,4x3mm",,Select by System,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,8,8 JLCPCB,0.34
TH1,,10K,0603,,Select by System,NCP18XH103F03RB,Murata Electronics,0603,-40℃~+125℃ 0.8mm 1.6mm 100mW 10kΩ 1mW/℃ 310uA 3380K 3434K 3455K ±1% ±1% 0603 NTC Thermistors ROHS,NTC Thermistors,,C13564,https://jlcpcb.com/partdetail/MurataElectronics-NCP18XH103F03RB/C13564,Extended,6,6 JLCPCB,0.2052
U1,,ESP32-S3-WROOM-1,"SMD,25.5x18mm",,Select by System,ESP32-S3-WROOM-1-N16R8,Espressif Systems,"SMD,25.5x18mm","SMD,25.5x18mm WiFi Modules ROHS",WiFi Modules,,C2913202,https://jlcpcb.com/partdetail/3198300-ESP32_S3_WROOM_1N16R8/C2913202,Extended,2,2 JLCPCB,10.806
U2,,TPS61023,SOT-563,,Select by System,TPS61023DRLR,Texas Instruments,SOT-563,-40℃~+125℃@(TJ) 1 1MHz 2.2V~5.5V 3A 3uA 500mV~5.5V Adjustable Boost Boost Built-in Yes SOT-563 DC-DC Converters ROHS,DC-DC Converters,,C919459,https://jlcpcb.com/partdetail/TexasInstruments-TPS61023DRLR/C919459,Extended,5,5 JLCPCB,1.1565
U3,,BQ24075RGT,QFN-16-EP(3x3),,Select by System,BQ24075RGTR,Texas Instruments,QFN-16-EP(3x3),-40℃~+125℃ 1.5A 4.2V 4.35V~6.4V 6.5uA Charging IC Lithium Battery Not Supported Support QFN-16-EP(3x3) Battery Management ROHS,Battery Management,,C15464,https://jlcpcb.com/partdetail/TexasInstruments-BQ24075RGTR/C15464,Extended,2,2 JLCPCB,1.815
U4,,AP2112K-3.3,SOT-23-5,,Select by System,AP2112K-3.3TRG1,TECH PUBLIC,SOT-23-5,"-40℃~+85℃@(Ta) 1 10uA 3.3V 320mV@(600mA) 5.5V 600mA 75dB@(1kHz) Fixed Over Temperature Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C23380830,https://jlcpcb.com/partdetail/TECHPUBLIC-AP2112K_33TRG1/C23380830,Extended,5,5 JLCPCB,0.4425
